OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-3704,2022-025D,2026-06-28T11:03:46.506816,15.31701563,.00011141,53.1595,242.0830,83.8475,276.2653,0,U,51959,999,23779,.21863485E-4,.313E-5,0
STARLINK-3691,2022-025E,2026-06-28T10:42:31.651488,15.31700253,.00011039,53.1587,241.3943,81.0635,279.0492,0,U,51960,999,23780,.26744584E-4,.465E-5,0
STARLINK-3697,2022-025G,2026-06-27T20:32:33.599616,15.31698563,.00011538,53.1590,231.7547,86.8726,273.2407,0,U,51962,999,23789,.11687394E-4,-.2E-7,0
STARLINK-3675,2022-025H,2026-06-28T09:21:20.200032,15.31699865,.00011393,53.1582,218.5310,78.9547,281.1583,0,U,51963,999,23813,.9807733E-5,-.61E-6,0
STARLINK-3690,2022-025J,2026-06-28T10:18:02.724480,15.31717683,.00008997,53.1583,229.0728,75.8401,284.2700,0,U,51964,999,23798,.80752917E-4,.2143E-4,0
STARLINK-3696,2022-025K,2026-06-28T13:30:25.227936,15.31698644,.00011191,53.1584,241.3971,85.8387,274.2742,0,U,51965,999,23781,.12888811E-4,.35E-6,0
STARLINK-3699,2022-025L,2026-06-28T11:42:59.584032,15.31697577,.00010856,53.1587,241.4975,88.7189,271.3936,0,U,51966,999,23780,.24257132E-4,.388E-5,0
STARLINK-3681,2022-025N,2026-06-28T10:04:39.716832,15.31704213,.00012089,53.1584,229.1173,75.1662,284.9474,0,U,51968,999,23798,.95443712E-4,.2598E-4,0
STARLINK-3680,2022-025P,2026-06-28T10:24:47.004768,15.31704595,.000119,53.1589,229.0953,86.8584,273.2554,0,U,51969,999,23797,.2099972E-4,.287E-5,0
STARLINK-3677,2022-025Q,2026-06-28T09:22:31.984608,15.32034410,.00104106,53.1597,242.4313,86.5802,273.6391,0,U,51970,999,23778,.12048919E-2,.37661E-3,0
STARLINK-3669,2022-025R,2026-06-28T12:18:54.876960,15.31698579,.00010336,53.1590,228.8883,84.9066,275.2054,0,U,51971,999,23799,.18997375E-4,.225E-5,0
STARLINK-3671,2022-025S,2026-06-28T13:44:50.507520,15.31700781,.00012551,53.1608,241.5364,83.2908,276.8236,0,U,51972,999,23781,.47780892E-4,.1118E-4,0
STARLINK-3679,2022-025T,2026-06-28T00:00:02.000160,15.31681217,.00011408,53.1575,243.7489,89.5040,148.7451,0,U,51973,999,572,.13515566E-2,.41786E-3,0
STARLINK-3672,2022-025U,2026-06-28T14:44:14.484192,15.31700677,.00011627,53.1591,241.1186,86.9357,273.1777,0,U,51974,999,23781,.28006418E-4,.504E-5,0
STARLINK-3674,2022-025V,2026-06-28T10:11:15.480672,15.31705862,.00010526,53.1582,228.6279,79.3863,280.7257,0,U,51975,999,23799,.31544817E-4,.614E-5,0
STARLINK-3660,2022-025X,2026-06-28T14:00:01.000224,15.18285514,.0002392,53.1595,240.9596,76.6758,90.3251,0,U,51977,999,580,.37012401E-2,.77314E-3,0
STARLINK-3649,2022-025AA,2026-06-28T14:51:18.785952,15.08831769,.0001075,53.1602,260.9741,82.7054,277.4060,0,U,51980,999,23780,.82601644E-4,.1027E-4,0
STARLINK-3635,2022-025AB,2026-06-28T12:01:43.835520,15.08832553,.0000998,53.1597,261.5035,88.8108,271.2998,0,U,51981,999,23778,.62986338E-4,.715E-5,0
STARLINK-3655,2022-025AD,2026-06-28T11:56:26.109888,15.08832657,.00010491,53.1597,261.5265,87.8028,272.3084,0,U,51983,999,23778,.67238387E-4,.782E-5,0
STARLINK-3664,2022-025AE,2026-06-28T14:26:12.523776,15.08834145,.00011554,53.1592,261.1383,94.1708,265.9416,0,U,51984,999,23780,.81422965E-4,.1008E-4,0
STARLINK-3651,2022-025AF,2026-06-28T11:47:11.045184,15.08862254,.00015433,53.1598,261.5571,87.1450,272.9718,0,U,51985,999,23778,.30820792E-3,.4624E-4,0
STARLINK-3645,2022-025AG,2026-06-28T12:07:00.721344,15.08827695,.00010131,53.1593,261.3332,83.7179,276.3928,0,U,51986,999,23779,-.62416609E-4,-.1281E-4,0
