OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
CALSPHERE 1,1964-063C,2026-06-28T15:28:04.137312,13.76635109,.00231976,90.2226,72.0404,259.2780,131.7004,0,U,900,999,7300,.53945168E-3,.539E-5,0
CALSPHERE 2,1964-063E,2026-06-28T15:29:00.153024,13.52901073,.00181031,90.2366,76.0703,188.0548,244.5507,0,U,902,999,85781,.91273759E-4,.7E-6,0
LCS 1,1965-034C,2026-06-28T13:58:24.342816,9.89310831,.0012312,32.1364,149.9649,163.5421,196.5477,0,U,1361,999,21101,-.16749173E-2,-.4E-7,0
TEMPSAT 1,1965-065E,2026-06-28T15:07:02.605728,13.33594637,.00685088,89.9981,212.5948,215.1833,269.8404,0,U,1512,999,96157,.75126616E-4,.46E-6,0
CALSPHERE 4A,1965-065H,2026-06-28T15:08:05.662176,13.36280414,.0072135,89.8989,122.3752,71.5714,107.5104,0,U,1520,999,96423,.14873878E-3,.87E-6,0
OPS 5712 (P/L 160),1967-053A,2026-06-28T14:57:16.125984,14.77863725,.00010464,69.9170,10.2629,299.1793,60.9251,0,U,2826,999,6792,.93777124E-3,.6684E-4,0
LES-5,1967-066E,2026-06-28T02:13:15.595104,1.09425286,.00517796,2.6483,96.0278,214.1927,4.5960,0,U,2866,999,13115,0,-.48E-6,0
SURCAL 159,1967-053F,2026-06-28T14:13:49.971936,13.99605471,.00044105,69.9751,336.2668,106.6051,253.5541,0,U,2872,999,1180,.77249132E-4,.59E-6,0
OPS 5712 (P/L 153),1967-053H,2026-06-28T03:37:40.149696,13.96829794,.00079064,69.9742,91.8070,201.3065,158.7713,0,U,2874,999,832,.37561483E-4,-.1E-7,0
RIGIDSPHERE 2 (LCS 4),1971-067E,2026-06-28T14:31:08.892192,14.37881019,.00594015,87.6221,335.6372,192.8226,167.1467,0,U,5398,999,87552,.23044479E-3,.727E-5,0
OSCAR 7 (AO-7),1974-089B,2026-06-28T15:30:34.905312,12.53698301,.00126465,101.9899,193.0123,108.8638,8.4309,0,U,7530,999,36195,.12546905E-3,-.26E-6,0
STARLETTE,1975-010A,2026-06-28T14:03:53.957088,13.82350494,.02056158,49.8242,59.6002,100.7206,261.6908,0,U,7646,999,59611,.5217914E-5,-.139E-5,0
LAGEOS 1,1976-039A,2026-06-28T13:52:56.581824,6.38664728,.00446655,109.8035,183.2333,299.8224,226.6604,0,U,8820,999,91386,0,.11E-6,0
PHASE 3B (AO-10),1983-058B,2026-06-26T14:17:11.121504,2.05872938,.60076223,25.9202,218.0092,118.2548,314.1516,0,U,14129,999,29568,0,-.217E-5,0
UOSAT 2 (UO-11),1984-021B,2026-06-28T11:56:22.686720,14.90810480,.00085864,97.8063,144.9461,137.7568,222.4313,0,U,14781,999,25881,.13063697E-3,.123E-4,0
AJISAI (EGS),1986-061A,2026-06-28T14:47:41.447616,12.44516728,.00111559,50.0091,112.2500,209.6335,206.8143,0,U,16908,999,48181,-.74441135E-4,-.108E-5,0
TDRS 3,1988-091B,2026-06-28T13:33:36.647136,1.00270085,.00374612,12.5929,340.9263,356.8506,93.4342,0,U,19548,999,12550,0,-.293E-5,0
COSMOS 1989 (ETALON 1),1989-001C,2026-06-28T05:53:33.411840,2.13156127,.00233388,64.9516,71.8173,217.5543,313.1025,0,U,19751,999,29160,0,-.42E-6,0
COSMOS 2024 (ETALON 2),1989-039C,2026-06-28T00:09:28.937952,2.13204716,.00207103,64.9275,310.1630,212.4332,294.3713,0,U,20026,999,28873,0,-.76E-6,0
FLTSATCOM 8 (USA 46),1989-077A,2026-06-28T09:38:04.243200,1.00271700,.00038476,12.4183,351.0957,60.6326,135.0621,0,U,20253,999,26067,0,-.362E-5,0
LUSAT (LO-19),1990-005G,2026-06-28T14:58:35.623488,14.34126405,.00117829,98.8846,201.7446,167.3246,192.8236,0,U,20442,999,90403,.55609078E-4,.109E-5,0
HST,1990-037B,2026-06-28T13:14:57.076800,15.30877093,.00013961,28.4733,2.8956,281.6307,78.4132,0,U,20580,999,79031,.19453691E-3,.6207E-4,0
SKYNET 4C,1990-079A,2026-06-11T04:50:51.491904,1.00274127,.00024002,13.3424,349.8525,96.2313,279.5534,0,U,20776,999,13083,0,.132E-5,0
TDRS 5,1991-054B,2026-06-28T14:11:41.951328,1.00268161,.00063186,14.0695,353.6940,262.3321,65.9932,0,U,21639,999,12782,0,.88E-6,0
LAGEOS 2,1992-070B,2026-06-04T12:03:15.111072,6.47293609,.0137809,52.6594,274.6781,181.7683,222.9403,0,U,22195,999,79460,0,-.9E-7,0
TDRS 6,1993-003B,2026-06-28T13:36:08.064000,1.00267199,.00086283,14.1829,356.9737,179.9911,257.7842,0,U,22314,999,12252,0,-.293E-5,0
SCD 1,1993-009B,2026-06-28T13:41:48.280416,14.46122784,.00416407,24.9683,137.2874,258.3912,263.5653,0,U,22490,999,76276,.5352015E-4,.382E-5,0
UFO 2 (USA 95),1993-056A,2026-06-28T04:02:24.161280,1.00273895,.0004477,11.8983,3.4938,8.5682,353.4357,0,U,22787,999,11866,0,.128E-5,0
STELLA,1993-061B,2026-06-28T15:18:24.469344,14.27470740,.00060336,98.7722,243.9311,194.0533,332.8187,0,U,22824,999,70640,.7291697E-5,-.27E-6,0
EYESAT A (AO-27),1993-061C,2026-06-28T14:34:24.058560,14.30945069,.00094499,98.6877,247.0164,70.3201,289.9000,0,U,22825,999,70863,.49415824E-4,.85E-6,0
ITAMSAT (IO-26),1993-061D,2026-06-28T10:38:31.665984,14.31372224,.00098194,98.6825,246.7713,55.6021,304.6089,0,U,22826,999,70892,.50751671E-4,.9E-6,0
USA 99 (MILSTAR-1 1),1994-009A,2026-06-27T10:32:54.826944,0.98723407,.00006439,17.6416,27.5995,191.4747,162.5297,0,U,22988,999,3304,0,-.186E-5,0
RADIO ROSTO (RS15),1994-085A,2026-06-28T13:21:53.903232,11.27583402,.01563277,64.8176,284.8288,1.7770,358.3679,0,U,23439,999,29718,-.43211157E-4,-.44E-6,0
UFO 4 (USA 108),1995-003A,2026-06-28T10:44:27.590784,1.00273807,.00029395,9.6858,13.1466,81.0466,155.6705,0,U,23467,999,11506,0,-.18E-6,0
TDRS 7,1995-035B,2026-06-28T13:47:01.279968,1.00278277,.00117451,13.3724,348.1111,82.3903,141.9644,0,U,23613,999,11336,0,-.235E-5,0
USA 115 (MILSTAR-1 2),1995-060A,2026-06-28T12:01:40.770048,1.00363900,.00023162,14.0765,3.6635,136.4008,226.4688,0,U,23712,999,3300,0,-.209E-5,0
POLAR,1996-013A,2026-06-28T14:10:19.858368,1.29846071,.64818074,79.8685,226.9180,208.6879,90.5765,0,U,23802,999,14500,0,.183E-5,0
INMARSAT 3-F1,1996-020A,2026-06-28T14:56:39.444864,0.99978067,.00038767,10.6240,46.5287,68.5056,278.5779,0,U,23839,999,11036,0,-.41E-6,0
USA 119,1996-029A,2026-06-28T07:53:22.545024,13.46268820,.08517765,63.3166,162.9442,49.3384,317.8573,0,U,23893,999,10677,.35078535E-3,.2117E-4,0
JAS-2 (FO-29),1996-046B,2026-06-28T13:10:37.635744,13.53274843,.03508692,98.5229,26.8641,67.0358,296.7398,0,U,24278,999,47470,.14056145E-4,-.19E-6,0
INMARSAT 3-F2,1996-053A,2026-06-28T14:41:50.177184,0.99999532,.00064181,9.8819,53.8195,40.2530,181.3383,0,U,24307,999,10903,0,-.324E-5,0
INMARSAT 3-F3,1996-070A,2026-06-28T05:45:49.040352,0.99987744,.0003293,10.3413,49.5469,50.4718,293.8633,0,U,24674,999,10801,0,.124E-5,0
NAVSTAR 43 (USA 132),1997-035A,2026-06-28T04:05:21.636384,2.00563976,.01029812,56.0003,98.1460,57.1555,303.8228,0,U,24876,999,21217,0,-.47E-6,0
FORTE,1997-047A,2026-06-28T13:59:22.003584,14.27949448,.00246162,69.9541,348.2802,263.5699,96.2620,0,U,24920,999,50031,.77937044E-4,.136E-5,0
USA 134,1997-065A,2026-06-28T13:38:17.176704,1.00270499,.00029246,12.7971,21.6365,348.2107,358.9701,0,U,25019,999,3306,0,-.6E-6,0
ORBCOMM FM06,1997-084G,2026-06-28T12:34:04.463328,14.47589370,.00000788,45.0146,358.1371,105.9389,284.0869,0,U,25118,999,49603,.34707569E-3,.1145E-4,0
INMARSAT 3-F5,1998-006B,2026-06-28T00:13:34.578336,1.00272536,.00043519,9.7164,53.1524,39.2956,133.0931,0,U,25153,999,10400,0,-.288E-5,0
ORBCOMM FM04,1998-007C,2026-06-28T14:41:07.394496,14.35760310,.00416546,107.9626,192.9333,305.1577,54.5664,0,U,25159,999,47823,.29270917E-3,.723E-5,0
CELESTIS-02 & TAURUS R/B,1998-007D,2026-06-28T10:20:41.008416,14.22489569,.00603232,108.0151,355.0324,114.6098,302.9168,0,U,25160,999,47211,.63413732E-4,.15E-6,0
TECHSAT 1B (GO-32),1998-043D,2026-06-28T14:01:17.800320,14.24430518,.00016214,99.0072,172.6305,141.9335,218.1958,0,U,25397,999,45295,.41976786E-4,.5E-6,0
WESTPAC,1998-043E,2026-06-28T12:24:54.659520,14.23053974,.00017319,99.0139,165.8337,140.6714,219.4589,0,U,25398,999,45255,.13129026E-4,-.17E-6,0
ORBCOMM FM19,1998-046C,2026-06-28T07:34:17.090112,14.39511876,.00042666,44.9920,190.6634,328.4652,45.8561,0,U,25415,999,45838,.26393168E-3,.688E-5,0
ORBCOMM FM20,1998-046D,2026-06-28T11:24:44.902080,14.38078501,.00024494,44.9921,197.9501,287.9894,72.0687,0,U,25416,999,45841,.19799547E-3,.463E-5,0
ORBCOMM FM27,1998-053G,2026-06-28T13:43:47.236800,14.39161419,.00019728,45.0059,281.2797,235.6733,124.3930,0,U,25481,999,45187,.29734261E-3,.787E-5,0
SCD 2,1998-060A,2026-06-28T14:57:54.044352,14.45529867,.00165605,24.9967,1.6319,243.7199,164.3227,0,U,25504,999,46198,.53175851E-4,.373E-5,0
ISS (ZARYA),1998-067A,2026-06-28T12:59:37.480128,15.49467065,.00042596,51.6322,243.8877,242.8085,117.2470,0,U,25544,999,57351,.11309881E-3,.5887E-4,0
SWAS,1998-071A,2026-06-28T13:04:32.049696,15.09676726,.00086887,69.8940,198.2284,248.6189,111.4048,0,U,25560,999,49898,.13441413E-3,.2065E-4,0
ISS (UNITY),1998-069F,2026-06-28T12:59:37.480128,15.49467065,.00042596,51.6322,243.8877,242.8085,117.2470,0,U,25575,999,57148,.11309881E-3,.5887E-4,0
DLR-TUBSAT,1999-029B,2026-06-28T14:11:38.705280,14.52429518,.0013415,98.6700,175.4708,319.3268,40.6924,0,U,25757,999,43490,.33403058E-4,.88E-6,0
CXO,1999-040B,2026-06-28T22:55:40.167264,0.37796038,.78154391,56.3077,116.3625,310.1470,0.3486,0,U,25867,999,1736,0,.592E-5,0
ABS-6,1999-053A,2026-06-28T14:30:11.700576,1.00269704,.00036526,0.0192,303.1874,160.9464,189.1102,0,U,25924,999,9795,0,-.109E-5,0
NAVSTAR 46 (USA 145),1999-055A,2026-06-27T20:19:13.408608,2.00561862,.01065518,51.4533,295.0023,176.1823,242.6257,0,U,25933,999,19579,0,-.78E-6,0
UFO 10 (USA 146),1999-063A,2026-06-28T08:55:39.628416,1.00268733,.0001551,9.8435,27.1515,71.9130,288.2911,0,U,25967,999,9745,0,-.186E-5,0
ORBCOMM FM32,1999-065C,2026-06-28T13:14:47.313600,14.37144819,.00043298,45.0144,119.4449,102.3246,257.8087,0,U,25982,999,38872,.25843727E-3,.633E-5,0
XMM-NEWTON,1999-066A,2026-06-30T07:31:49.282176,0.50127122,.46708159,64.4187,282.8185,64.6474,0.0796,0,U,25989,999,2307,0,.75E-6,0
TERRA,1999-068A,2026-06-28T14:36:06.308640,14.61111672,.00024692,97.9451,228.7016,157.6806,354.8700,0,U,25994,999,41127,.86126392E-4,.379E-5,0
ASIASTAR,2000-016A,2026-06-28T15:46:19.298784,1.00271846,.00046189,9.1552,58.0311,36.7270,163.5939,0,U,26107,999,9603,0,-.331E-5,0
IMAGE,2000-017A,2026-06-27T08:30:03.789792,1.68666239,.74248625,94.2374,315.5053,286.6524,9.3238,0,U,26113,999,16167,0,-.86E-6,0
USA 149 (DSP 20),2000-024A,2026-06-28T15:13:06.877632,1.00280761,.00015094,13.1787,11.7699,324.3963,3.6746,0,U,26356,999,3302,0,.98E-6,0
TDRS 8,2000-034A,2026-06-28T15:36:05.818176,1.00275497,.00046855,12.7011,31.2237,24.8107,179.4886,0,U,26388,999,9529,0,-.194E-5,0
ISS (ZVEZDA),2000-037A,2026-06-28T12:59:37.480128,15.49467065,.00042596,51.6322,243.8877,242.8085,117.2470,0,U,26400,999,57153,.11309881E-3,.5887E-4,0
NAVSTAR 48 (USA 151),2000-040A,2026-06-28T06:30:42.594912,2.00557860,.0120881,54.8502,214.7219,302.5644,64.3517,0,U,26407,999,19017,0,.79E-6,0
CLUSTER II-FM7 (SAMBA),2000-041A,2026-06-30T12:38:19.485024,0.44858661,.90690818,149.8901,53.0517,270.4354,359.5654,0,U,26410,999,2036,0,.15728E-3,0
CLUSTER II-FM8 (TANGO),2000-045B,2026-06-26T10:41:12.779520,0.44425767,.90681332,150.1217,53.5221,270.7042,2.5410,0,U,26464,999,2035,0,.7604E-4,0
NSS-11,2000-059A,2026-06-28T14:21:20.971296,1.00273138,.00031405,2.1552,81.2658,11.7558,215.0081,0,U,26554,999,4140,0,.34E-6,0
USA 153,2000-065A,2026-06-28T11:23:12.348672,1.00268024,.00030813,11.6433,35.3263,52.7163,133.6879,0,U,26575,999,3304,0,-.324E-5,0
AMC-6,2000-067A,2026-06-28T15:13:43.498272,1.00273395,.00040148,0.1807,83.4344,24.3558,262.3258,0,U,26580,999,9400,0,.99E-6,0
NAVSTAR 49 (USA 154),2000-071A,2026-06-28T14:46:50.277216,2.00565072,.01741358,55.6315,94.5030,266.8276,273.8450,0,U,26605,999,18774,0,-.46E-6,0
ISS (DESTINY),2001-006B,2026-06-28T12:59:37.480128,15.49467065,.00042596,51.6322,243.8877,242.8085,117.2470,0,U,26700,999,57158,.11309881E-3,.5887E-4,0
ODIN,2001-007A,2026-06-28T15:17:34.615680,15.80233785,.00062043,97.3796,221.3471,134.8757,225.3015,0,U,26702,999,39120,.11239214E-2,.214973E-2,0
USA 157 (MILSTAR-2 2),2001-009A,2026-06-28T14:01:44.117760,1.00268174,.00395885,11.5547,19.6926,178.1450,139.2596,0,U,26715,999,3305,0,.112E-5,0
BSAT-2A,2001-011B,2026-06-28T15:08:43.393056,0.99176416,.00028534,10.7566,47.3849,185.7599,140.7810,0,U,26720,999,9208,0,.74E-6,0
OMNI-M1,2001-026A,2026-06-28T10:32:36.049632,3.92401949,.00139013,44.8275,242.6703,55.5893,304.6092,0,U,26857,999,20601,0,.8E-7,0
INTELSAT 902 (IS-902),2001-039A,2026-06-28T14:19:46.009920,1.00270785,.00042065,6.1449,71.6447,26.0472,343.8308,0,U,26900,999,9081,0,-.278E-5,0
PCSAT (NO-44),2001-043C,2026-06-28T13:03:30.145824,14.31959587,.00060398,67.0491,214.8978,265.3473,94.6939,0,U,26931,999,29207,.6516455E-4,.92E-6,0
PROBA-1,2001-049B,2026-06-28T14:52:20.007264,15.07544474,.00565977,97.9600,188.5508,84.4170,276.3508,0,U,26958,999,34534,.10626268E-3,.1602E-4,0
TIMED,2001-055B,2026-06-28T12:22:40.642752,14.95314068,.00016866,74.0664,212.2084,320.2046,39.9015,0,U,26998,999,33251,.85601015E-4,.904E-5,0
MAROC-TUBSAT,2001-056D,2026-06-28T14:28:00.490080,13.70262937,.00205727,99.8086,356.6777,112.9575,264.3772,0,U,27004,999,22775,.29368368E-4,-.21E-6,0
COSMOS 2385,2001-058B,2026-06-28T14:05:04.138080,12.60565682,.00057453,82.5359,212.5576,196.2991,331.9951,0,U,27056,999,12721,.20792942E-3,.47E-6,0
COSMOS 2386,2001-058C,2026-06-28T14:08:47.452704,12.61616692,.00016136,82.5423,206.8673,86.3140,273.8135,0,U,27057,999,12794,.13698554E-3,.35E-6,0
USA 164 (MILSTAR-2 3),2002-001A,2026-06-28T05:42:19.375200,1.00271540,.00995431,11.1924,21.8392,8.7873,350.2095,0,U,27168,999,3306,0,.1E-5,0
INTELSAT 904 (IS-904),2002-007A,2026-06-28T12:18:09.191232,1.00272689,.00064971,6.9472,69.0501,12.3783,348.2351,0,U,27380,999,5188,0,-.22E-5,0
AQUA,2002-022A,2026-06-28T13:14:12.193728,14.62174378,.00007357,98.4282,149.0617,68.6565,356.5379,0,U,27424,999,28493,.15713764E-3,.741E-5,0
DIRECTV 5 (TEMPO 1),2002-023A,2026-06-28T14:57:18.666144,1.00271699,.00035622,4.9060,75.1720,27.3315,288.4369,0,U,27426,999,8823,0,-.5E-6,0
INTELSAT 905 (IS-905),2002-027A,2026-06-28T15:14:30.853248,1.00272709,.00041471,6.7811,69.6643,29.0805,269.4050,0,U,27438,999,5147,0,.99E-6,0
GALAXY 3C (G-3C),2002-030A,2026-06-28T14:49:31.661184,1.00272327,.00019882,3.7612,77.8325,26.1636,300.2638,0,U,27445,999,4660,0,-.145E-5,0
COSMOS 2390,2002-036A,2026-06-28T14:48:43.239168,12.44623890,.0024701,82.4850,337.8062,232.2524,127.6319,0,U,27464,999,8909,.24579914E-3,.45E-6,0
COSMOS 2391,2002-036B,2026-06-28T13:12:44.426880,12.44946884,.00256327,82.4846,334.3762,226.2373,133.6586,0,U,27465,999,8926,.22783028E-3,.42E-6,0
INTELSAT 906 (IS-906),2002-041A,2026-06-28T11:52:24.963168,1.00272492,.00041612,5.8304,72.7827,9.3200,76.7343,0,U,27513,999,8714,0,.19E-6,0
LATINSAT B,2002-058B,2026-06-28T11:08:36.487680,14.77037006,.0087397,64.5528,216.1267,267.7727,91.3367,0,U,27606,999,26376,.81629488E-4,.462E-5,0
SAUDISAT 1C (SO-50),2002-058C,2026-06-28T11:36:44.306496,14.83069301,.00749952,64.5520,94.0340,260.3690,98.8938,0,U,27607,999,26613,.12163902E-3,.884E-5,0
LATINSAT A,2002-058H,2026-06-28T14:25:11.885664,14.85494117,.00526669,64.5550,286.1807,246.2711,113.2866,0,U,27612,999,26932,.11085951E-3,.827E-5,0
NIMIQ 2,2002-062A,2026-06-28T14:57:18.671328,1.00272591,.000581,9.4711,56.7772,35.4937,299.5918,0,U,27632,999,4429,0,-.66E-6,0
CORIOLIS,2003-001A,2026-06-28T14:42:01.048896,14.19947747,.00140474,98.7127,186.3229,175.1923,184.9391,0,U,27640,999,21584,.65061429E-4,.95E-6,0
SORCE,2003-004A,2026-06-28T11:54:25.191360,15.03762375,.00165045,39.9887,197.1531,136.4451,223.7649,0,U,27651,999,27360,.16669999E-3,.2183E-4,0
NAVSTAR 51 (USA 166),2003-005A,2026-06-28T14:39:56.332224,2.00560056,.01480478,54.8808,214.5148,53.1107,335.2091,0,U,27663,999,17154,0,.78E-6,0
USA 167,2003-008A,2026-06-28T08:22:17.590080,1.00272994,.00038341,10.9826,43.3085,320.7053,276.3175,0,U,27691,999,688,0,.5E-7,0
NAVSTAR 52 (USA 168),2003-010A,2026-06-22T23:36:29.107872,1.94743191,.00021054,54.8097,324.9107,356.0643,353.0417,0,U,27704,999,17002,0,-.106E-5,0
USA 169 (MILSTAR-2 4),2003-012A,2026-06-28T10:37:05.658240,1.00272316,.01006283,12.3659,29.7493,9.8277,188.3933,0,U,27711,999,3306,0,-.258E-5,0
ASIASAT 4,2003-014A,2026-06-28T14:37:17.363136,1.00270363,.00028173,4.7324,75.6054,26.3551,181.6010,0,U,27718,999,4541,0,-.216E-5,0
HELLAS-SAT 2,2003-020A,2026-06-28T10:41:57.386112,1.00272321,.00031425,7.3815,67.7513,47.7277,311.5221,0,U,27811,999,4295,0,-.8E-6,0
THURAYA-2,2003-026A,2026-06-28T05:49:26.192928,1.00273960,.00026673,8.8565,31.9269,16.1565,359.6385,0,U,27825,999,8446,0,.129E-5,0
OPTUS C1,2003-028B,2026-06-28T14:51:10.583136,1.00272168,.0005819,6.9172,69.2734,23.7338,202.2644,0,U,27831,999,5317,0,-.146E-5,0
MOST,2003-031D,2026-06-28T14:46:23.909664,14.21324655,.00091423,98.7043,187.1819,213.8955,146.1639,0,U,27843,999,19233,.47399726E-4,.6E-6,0
CUTE-1 (CO-55),2003-031E,2026-06-28T11:42:06.909408,14.24342303,.00102213,98.6736,187.9043,146.4668,213.7159,0,U,27844,999,19328,.13667046E-3,.272E-5,0
CUBESAT XI-IV (CO-57),2003-031J,2026-06-28T13:14:52.243584,14.23626546,.00097074,98.6768,187.6716,163.9321,196.2167,0,U,27848,999,19299,.11941018E-3,.229E-5,0
SCISAT 1,2003-036A,2026-06-28T08:49:54.304032,14.81459631,.00081627,73.9291,149.1280,219.1594,140.8993,0,U,27858,999,23310,.7970043E-4,.588E-5,0
COSMOS 2400,2003-037A,2026-06-28T15:13:14.270016,12.45190507,.00219006,82.4719,322.6718,32.9636,327.2806,0,U,27868,999,3896,-.22145492E-3,-.22E-6,0
COSMOS 2401,2003-037B,2026-06-28T16:10:39.998784,12.45503717,.00225639,82.4711,319.0208,28.1809,332.0488,0,U,27869,999,3920,.48863593E-4,.17E-6,0
USA 170,2003-040A,2026-06-27T19:27:55.501056,1.00271816,.00024789,10.5222,47.8476,63.4264,120.7993,0,U,27875,999,3310,0,.128E-5,0
MOZHAETS 4 (RS22),2003-042A,2026-06-28T15:00:49.786272,14.73486907,.00101138,98.3468,4.3078,228.5620,219.2761,0,U,27939,999,21723,.16298607E-3,.1005E-4,0
LARETS,2003-042F,2026-06-28T14:22:07.630752,14.63870740,.00123447,98.4163,342.0432,6.7102,353.4263,0,U,27944,999,21503,.15503939E-4,.3E-6,0
GALAXY 13 (HORIZONS-1),2003-044A,2026-06-28T14:22:17.431104,1.00270480,.00016937,1.4480,83.7210,6.4967,252.0264,0,U,27954,999,4668,0,.143E-5,0
DMSP 5D-3 F16 (USA 172),2003-048A,2026-06-28T15:12:07.582176,14.14483839,.00081244,98.9887,203.5374,111.7017,357.7873,0,U,28054,999,17110,.26103727E-4,.5E-7,0
CHUANGXIN 1 (CX-1),2003-049B,2026-06-28T13:43:35.258304,14.48589619,.00131165,98.5071,78.7248,143.7238,216.4847,0,U,28058,999,19792,.6499996E-4,.199E-5,0
YAMAL 202,2003-053A,2026-06-28T14:55:27.364800,1.00271334,.0003211,6.3720,70.8002,19.6342,213.6780,0,U,28089,999,8281,0,-.75E-6,0
UFO 11 (USA 174),2003-057A,2026-06-28T14:31:49.791360,1.00272164,.00023774,8.9439,33.7705,78.1648,98.3273,0,U,28117,999,8256,0,-.101E-5,0
NAVSTAR 53 (USA 175),2003-058A,2026-06-27T22:43:47.823456,1.92678655,.00015516,55.0335,22.8687,343.2712,16.7755,0,U,28129,999,16467,0,-.85E-6,0
USA 176 (DSP 22),2004-004A,2026-06-28T10:30:50.950944,1.00273300,.00010691,12.0769,25.9868,324.4788,34.5110,0,U,28158,999,3304,0,-.294E-5,0
ABS-4 (MOBISAT-1),2004-007A,2026-06-28T05:54:18.225792,1.00269147,.00045508,6.0687,71.8740,24.0341,329.9954,0,U,28184,999,5244,0,.45E-6,0
NAVSTAR 54 (USA 177),2004-009A,2026-06-28T08:45:51.984864,2.00554511,.01165462,54.8202,275.2354,173.5786,190.0980,0,U,28190,999,16317,0,-.34E-6,0
SHIYAN-1 (SY-1),2004-012A,2026-06-28T05:00:06.869376,15.34036376,.00046397,97.8697,257.9941,352.5730,7.5442,0,U,28220,999,21278,.39034189E-3,.12779E-3,0
INTELSAT 10-02,2004-022A,2026-06-28T09:01:54.029856,1.00279320,.0000745,0.0291,284.0988,227.6296,259.2227,0,U,28358,999,8066,0,.2E-7,0
NAVSTAR 55 (USA 178),2004-023A,2026-06-27T08:41:38.808672,2.00557549,.01597228,54.8706,86.3004,302.2765,237.6904,0,U,28361,999,16124,0,-.64E-6,0
APRIZESAT 2,2004-025A,2026-06-28T10:01:17.291136,14.38040359,.01048233,98.1022,344.7627,215.6007,143.8159,0,U,28366,999,15325,.7312252E-4,.193E-5,0
SAUDICOMSAT 1,2004-025D,2026-06-28T11:55:24.473856,14.55482191,.00319076,98.5770,189.9333,351.2263,8.8372,0,U,28369,999,16577,.9254709E-4,.355E-5,0
SAUDICOMSAT 2,2004-025E,2026-06-28T13:55:28.754688,14.49986872,.00545687,98.6639,192.1487,224.3422,135.3394,0,U,28370,999,16175,.65858709E-4,.21E-5,0
SAUDISAT 2,2004-025F,2026-06-28T13:38:58.589088,14.56689916,.0023436,98.5509,179.8448,261.4269,98.4272,0,U,28371,999,16740,.62874586E-4,.232E-5,0
APRIZESAT 1,2004-025G,2026-06-28T12:41:35.054016,14.51783138,.00456054,98.6303,190.5631,120.0106,240.5625,0,U,28372,999,16355,.76701214E-4,.263E-5,0
AURA,2004-026A,2026-06-28T15:01:41.504448,14.61345316,.00011608,98.3422,136.1744,83.6068,276.5265,0,U,28376,999,16788,.15595608E-3,.722E-5,0
ANIK F2,2004-027A,2026-06-28T14:58:37.695360,1.00272394,.00042824,3.3159,79.3008,15.9476,295.0000,0,U,28378,999,4137,0,-.42E-6,0
COSMOS 2407,2004-028A,2026-06-28T15:00:56.693088,13.76335541,.00382401,82.9602,66.3624,218.8936,205.8287,0,U,28380,999,10145,.44638898E-4,.59E-6,0
SHIJIAN-6 01A (SJ-6 01A),2004-035A,2026-06-28T15:14:15.572544,15.18160012,.00079203,97.5856,206.7691,98.0846,262.1287,0,U,28413,999,18920,.37328159E-3,.7563E-4,0
SHIJIAN-6 01B (SJ-6 01B),2004-035B,2026-06-28T14:38:52.339200,15.06395844,.00062896,97.6031,197.3305,98.5209,261.6731,0,U,28414,999,18854,.26288394E-3,.3812E-4,0
COSMOS 2408,2004-037A,2026-06-28T15:42:20.016576,12.45680393,.00151462,82.4857,318.6793,241.2430,118.7130,0,U,28419,999,98933,.13914034E-4,.12E-6,0
COSMOS 2409,2004-037B,2026-06-28T14:49:44.660928,12.45323587,.0012664,82.4859,321.9337,253.0901,106.8792,0,U,28420,999,98897,-.19990772E-3,-.19E-6,0
AMC-15,2004-041A,2026-06-28T14:55:33.793824,1.00272099,.0002536,0.0161,17.8320,74.6858,303.0361,0,U,28446,999,7941,0,-.77E-6,0
JB-3 3 (ZY 2C),2004-044A,2026-06-28T09:22:54.096960,15.19405375,.00333148,97.2770,332.5761,178.8318,181.3001,0,U,28470,999,18948,.18724763E-3,.3954E-4,0
NAVSTAR 56 (USA 180),2004-045A,2026-06-27T12:42:59.516928,2.00556517,.01699257,55.1297,324.4797,316.6549,228.8680,0,U,28474,999,15863,0,-.102E-5,0
SWIFT,2004-047A,2026-06-28T10:35:48.278400,15.69400378,.0001394,20.5519,98.0156,95.8786,264.1819,0,U,28485,999,18863,.38405233E-3,.48347E-3,0
NANOSAT-1,2004-049B,2026-06-28T07:45:24.657120,14.80180385,.00027737,98.2288,316.2572,250.0237,110.0676,0,U,28493,999,15709,.13871066E-3,.998E-5,0
COSMOS 2414,2005-002A,2026-06-28T13:36:00.241344,13.87927120,.0038852,82.9490,35.0376,298.0100,61.7135,0,U,28521,999,8539,.34168905E-4,.56E-6,0
NSS-10,2005-003A,2026-06-28T09:03:08.772768,1.00272071,.00031727,6.4765,70.3199,19.5019,284.9875,0,U,28526,999,5326,0,-.246E-5,0
INMARSAT 4-F1,2005-009A,2026-06-28T15:03:21.201408,1.00272378,.00029808,5.1829,42.7740,54.7119,223.1875,0,U,28628,999,7778,0,.4E-6,0
